Date,Category,Sales_Amount
2024-02-01,Books,439.85
2024-02-05,Clothing,968.32
2024-02-08,Clothing,756.34
2024-02-10,Food,809.41
2024-02-10,Furniture,991.09
2024-02-13,Clothing,946.67
2024-02-13,Clothing,948.61
2024-02-15,Clothing,782.82
2024-02-16,Electronics,963.23
2024-02-17,Furniture,1071.96
2024-02-17,Electronics,1496.45
2024-02-17,Electronics,845.66
2024-02-24,Food,575.14
2024-02-24,Electronics,1737.07
2024-02-25,Books,473.96
2024-03-03,Food,823.83
2024-03-04,Furniture,1121.34
2024-03-05,Food,611.9
2024-03-08,Food,799.03
2024-03-09,Electronics,1396.92
2024-03-12,Clothing,982.58
2024-03-13,Food,636.41
2024-03-16,Clothing,766.23
2024-03-17,Food,817.32
2024-03-18,Furniture,1149.51
2024-03-20,Books,376.4
2024-03-20,Furniture,1367.78
2024-03-21,Furniture,1159.69
2024-03-27,Books,593.22
2024-03-27,Food,510.37
2024-04-02,Furniture,1516.21
2024-04-10,Electronics,1463.17
2024-04-11,Books,485.06
2024-04-13,Electronics,1882.06
2024-04-14,Clothing,1085.55
2024-04-17,Electronics,1661.63
2024-04-18,Books,422.91
2024-04-18,Books,432.54
2024-04-19,Furniture,1111.15
2024-04-21,Food,730.83
2024-04-22,Books,457.88
2024-04-22,Books,557.95
2024-04-23,Clothing,864.2
2024-04-24,Electronics,1233.12
2024-04-25,Electronics,1591.83
2024-05-01,Food,638.61
2024-05-03,Food,624.66
2024-05-11,Food,723.45
2024-05-12,Electronics,1400.95
2024-05-14,Clothing,838.83
2024-05-15,Electronics,1650.8
2024-05-17,Books,472.13
2024-05-17,Furniture,1344.26
2024-05-17,Books,615.29
2024-05-18,Electronics,2126.13
2024-05-18,Food,619.22
2024-05-24,Food,598.54
2024-05-24,Furniture,1587.61
2024-05-25,Electronics,1498.57
2024-05-26,Clothing,873.48
2024-06-03,Furniture,1130.9
2024-06-04,Electronics,1517.73
2024-06-12,Clothing,880.74
2024-06-13,Clothing,664.76
2024-06-15,Food,975.12
2024-06-15,Electronics,1576.19
2024-06-15,Books,397.75
2024-06-16,Clothing,804.9
2024-06-16,Electronics,1945.48
2024-06-17,Furniture,1823.86
2024-06-22,Clothing,1209.75
2024-06-23,Furniture,1711.28
2024-06-24,Furniture,1818.48
2024-06-24,Electronics,1883.68
2024-06-27,Electronics,1710.79
2024-07-01,Books,421.52
2024-07-02,Clothing,942.89
2024-07-04,Food,940.71
2024-07-05,Clothing,1091.09
2024-07-06,Clothing,610.14
2024-07-08,Food,632.84
2024-07-10,Food,943.02
2024-07-16,Electronics,1934.87
2024-07-18,Clothing,843.6
2024-07-18,Books,663.33
2024-07-21,Food,935.4
2024-07-21,Clothing,861.22
2024-07-22,Food,790.48
2024-07-23,Books,446.48
2024-07-27,Books,643.43
2024-08-03,Food,952.29
2024-08-05,Food,825.62
2024-08-05,Electronics,1718.7
2024-08-07,Clothing,975.9
2024-08-09,Books,491.33
2024-08-10,Food,906.67
2024-08-11,Books,656.29
2024-08-11,Electronics,1909.82
2024-08-12,Clothing,860.94
2024-08-13,Books,625.3
2024-08-16,Electronics,1764.81
2024-08-16,Books,469.27
2024-08-17,Electronics,1826.45
2024-08-18,Electronics,1907.99
2024-08-27,Electronics,1721.2
2024-09-01,Electronics,1857.9
2024-09-05,Books,533.64
2024-09-08,Clothing,651.44
2024-09-08,Clothing,1255.8
2024-09-08,Electronics,2208.49
2024-09-11,Electronics,1468.78
2024-09-12,Electronics,1803.83
2024-09-12,Food,964.79
2024-09-15,Furniture,1391.94
2024-09-20,Furniture,1473.79
2024-09-21,Clothing,1104.93
2024-09-22,Food,768.2
2024-09-23,Food,623.77
2024-09-23,Books,681.4
2024-09-23,Furniture,1460.02
2024-10-02,Clothing,1003.79
2024-10-03,Furniture,2056.78
2024-10-03,Clothing,675.39
2024-10-03,Books,614.03
2024-10-04,Clothing,800.35
2024-10-05,Clothing,818.34
2024-10-08,Furniture,1706.71
2024-10-11,Books,590.94
2024-10-14,Electronics,884.24
2024-10-15,Books,753.24
2024-10-21,Electronics,2102.46
2024-10-21,Clothing,1018.4
2024-10-23,Clothing,1090.92
2024-10-24,Books,570.11
2024-10-25,Electronics,1578.01
2024-11-02,Books,526.96
2024-11-04,Furniture,1400.85
2024-11-05,Books,532.01
2024-11-08,Food,872.76
2024-11-09,Food,648.75
2024-11-10,Books,560.32
2024-11-12,Clothing,669.05
2024-11-12,Food,849.29
2024-11-14,Electronics,2132.21
2024-11-16,Clothing,830.91
2024-11-18,Furniture,2191.1
2024-11-21,Furniture,1321.35
2024-11-21,Furniture,1129.56
2024-11-27,Books,545.82
2024-11-27,Food,884.48
2024-12-05,Electronics,1766.7
2024-12-05,Furniture,1490.4
2024-12-06,Furniture,2336.3
2024-12-07,Clothing,1158.02
2024-12-08,Books,523.85
2024-12-10,Electronics,2266.2
2024-12-11,Food,746.64
2024-12-12,Electronics,2662.88
2024-12-12,Electronics,2735.3
2024-12-16,Food,654.31
2024-12-16,Books,716.7
2024-12-18,Electronics,2583.64
2024-12-21,Electronics,2058.99
2024-12-22,Food,634.45
2024-12-24,Clothing,1414.81
