Date,Category,Sales_Amount
2023-07-01,Vegetables,1130.88
2023-07-04,Baby Food,1116.62
2023-07-05,Office Supplies,1903.78
2023-07-06,Cosmetics,679.27
2023-07-08,Office Supplies,1778.61
2023-07-09,Baby Food,1066.26
2023-07-10,Vegetables,1267.8
2023-07-13,Office Supplies,1679.67
2023-07-14,Office Supplies,1522.91
2023-07-15,Household,710.41
2023-07-16,Office Supplies,1939.5
2023-07-18,Fruits,962.56
2023-07-21,Vegetables,1309.22
2023-07-22,Office Supplies,1501.17
2023-07-24,Baby Food,855.96
2023-07-29,Fruits,1320.71
2023-08-03,Office Supplies,1663.41
2023-08-04,Fruits,709.65
2023-08-05,Fruits,831.19
2023-08-06,Office Supplies,2064.84
2023-08-07,Cosmetics,545.56
2023-08-08,Cosmetics,1074.47
2023-08-09,Fruits,899.31
2023-08-10,Baby Food,770.81
2023-08-13,Cosmetics,648.24
2023-08-16,Vegetables,1207.87
2023-08-21,Vegetables,678.65
2023-08-23,Office Supplies,1985.12
2023-08-24,Household,1308.3
2023-08-25,Vegetables,1122.91
2023-08-28,Vegetables,821.85
2023-08-31,Office Supplies,1407.47
2023-09-03,Baby Food,755.38
2023-09-04,Fruits,1259.02
2023-09-08,Fruits,815.31
2023-09-10,Household,1104.22
2023-09-12,Office Supplies,2161.64
2023-09-13,Household,929.18
2023-09-14,Office Supplies,2003.78
2023-09-15,Vegetables,576.42
2023-09-17,Office Supplies,1812.29
2023-09-19,Office Supplies,1853.52
2023-09-20,Household,850.09
2023-09-22,Baby Food,1117.69
2023-09-23,Household,656.73
2023-09-26,Office Supplies,1669.65
2023-09-29,Household,1110.32
2023-10-01,Cosmetics,1425.62
2023-10-02,Office Supplies,1203.9
2023-10-04,Fruits,409.23
2023-10-05,Vegetables,1052.88
2023-10-09,Office Supplies,1596.15
2023-10-19,Cosmetics,1146.15
2023-10-25,Cosmetics,722.83
2023-10-30,Vegetables,1618.31
2023-11-01,Cosmetics,1307.52
2023-11-02,Household,1104.04
2023-11-08,Office Supplies,2142.9
2023-11-11,Cosmetics,1556.0
2023-11-13,Office Supplies,1869.95
2023-11-16,Fruits,956.2
2023-11-18,Office Supplies,1112.97
2023-11-20,Cosmetics,781.0
2023-11-23,Office Supplies,1416.39
2023-11-25,Office Supplies,2170.58
2023-11-27,Office Supplies,1656.01
2023-11-28,Fruits,669.64
2023-12-03,Fruits,1078.37
2023-12-04,Office Supplies,2040.09
2023-12-05,Household,784.96
2023-12-09,Office Supplies,1975.88
2023-12-10,Office Supplies,1782.95
2023-12-12,Office Supplies,2280.52
2023-12-15,Baby Food,722.05
2023-12-17,Office Supplies,1826.18
2023-12-18,Office Supplies,1700.65
2023-12-22,Office Supplies,1598.22
2023-12-23,Cosmetics,788.97
2023-12-24,Office Supplies,2037.26
2023-12-27,Cosmetics,1024.39
2023-12-28,Office Supplies,1706.88
2023-12-29,Cosmetics,857.68
2024-01-02,Office Supplies,1657.94
2024-01-05,Cosmetics,1143.23
2024-01-06,Baby Food,522.29
2024-01-08,Household,1162.87
2024-01-11,Household,1171.58
2024-01-12,Office Supplies,2039.74
2024-01-13,Office Supplies,1799.83
2024-01-15,Office Supplies,1410.89
2024-01-16,Office Supplies,2200.08
2024-01-20,Fruits,777.39
2024-01-29,Cosmetics,1077.88
2024-02-01,Vegetables,898.45
2024-02-05,Cosmetics,1209.88
2024-02-06,Office Supplies,1227.35
2024-02-08,Office Supplies,1969.98
2024-02-11,Office Supplies,1747.01
2024-02-12,Office Supplies,1712.36
