Date,Category,Sales_Amount
2024-09-04,Consulting,8721.01
2024-09-06,Consulting,2824.77
2024-09-08,Consulting,3905.47
2024-09-13,Consulting,6561.57
2024-09-16,Consulting,8397.89
2024-09-18,Support,5893.2
2024-09-19,Training,6192.76
2024-09-23,Support,4497.56
2024-09-30,Consulting,2899.04
2024-10-01,Training,8868.26
2024-10-09,Consulting,4661.53
2024-10-12,Training,7249.62
2024-10-13,Consulting,5923.65
2024-10-21,Support,2108.03
2024-10-22,Consulting,4057.97
2024-10-26,Training,2463.53
2024-10-28,Training,7565.03
2024-10-29,Consulting,6611.75
2024-10-31,Consulting,2790.34
2024-11-05,Training,8574.92
2024-11-06,Support,7134.91
2024-11-08,Training,8018.31
2024-11-09,Support,7826.38
2024-11-11,Consulting,4273.73
2024-11-12,Support,5632.99
2024-11-13,Consulting,2240.81
2024-11-15,Training,2354.5
2024-11-16,Training,4935.98
2024-11-18,Support,5607.82
2024-11-20,Training,8072.41
2024-11-21,Consulting,4045.16
2024-11-24,Training,2380.05
2024-11-25,Support,2001.29
2024-11-27,Training,5673.24
2024-11-30,Consulting,3077.5
